"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"sctap3",3340,1480,0.00196916976857097,0.460810810810811,0.55688622754491,TRUE,0.915540540540541,0.00136752136752137,0.091965811965812,0.214358974358974,0.376752136752137,0.376752136752137,0.724102564102564,0.724102564102564,0.724102564102564,0.724102564102564,0.724102564102564,1
"share1b",253,117,0.0398297354819094,0.88034188034188,0.122529644268775,TRUE,0.461538461538462,0.00854700854700855,0.0692307692307692,0.364102564102564,0.417094017094017,0.568376068376068,0.568376068376068,0.568376068376068,0.568376068376068,0.568376068376068,0.857692307692308,1
"share2b",162,96,0.0499614197530864,0.25,0.222222222222222,TRUE,0.604166666666667,0.0416666666666667,0.160416666666667,0.33125,0.397916666666667,0.5125,0.526041666666667,0.6375,0.769791666666667,0.860416666666667,0.919791666666667,1
"shell",1777,536,0.00373554288210047,0.00373134328358209,0.75633089476646,TRUE,0.996268656716418,0.00186567164179104,0.0951492537313433,0.209888059701493,0.34794776119403,0.34794776119403,0.611940298507463,0.611940298507463,0.611940298507463,0.802238805970149,0.898320895522388,1
"ship04l",2166,402,0.00732716840543359,0.654228855721393,0.977839335180055,TRUE,0.960199004975124,0.0037359900373599,0.099626400996264,0.217932752179328,0.316313823163138,0.407222914072229,0.50373599003736,0.600249066002491,0.696139476961395,0.790784557907846,0.870485678704857,1
"ship04s",1506,402,0.0072677779759899,0.654228855721393,0.968127490039841,TRUE,0.962686567164179,0.0037359900373599,0.123287671232877,0.217932752179328,0.313823163138232,0.408717310087173,0.503113325031133,0.601743462017435,0.696139476961395,0.795018679950187,0.870485678704857,1
"ship08l",4363,778,0.00379505858743218,0.530848329048843,0.981663992665597,TRUE,0.976863753213368,0.00450740502253703,0.113329040566645,0.186091435930457,0.3026400515132,0.408242112041211,0.505473277527366,0.602833226014166,0.701352221506761,0.798712169993561,0.877656149388281,1
"ship08s",2467,778,0.00374819077113528,0.530848329048843,0.967571949736522,TRUE,0.976863753213368,0.00321957501609787,0.101738570508693,0.252414681262073,0.252414681262073,0.408242112041211,0.506117192530586,0.603219575016098,0.70096587250483,0.797166773985834,0.877656149388281,1
"ship12l",5533,1151,0.00255571067709531,0.567332754126846,0.980842219410808,TRUE,0.984361424847958,0.00566448801742919,0.139433551198257,0.197385620915033,0.310239651416122,0.409150326797386,0.508061002178649,0.606710239651416,0.7040522875817,0.80400871459695,0.872331154684096,1
"ship12s",2869,1151,0.00250861617597137,0.567332754126846,0.963053328685953,TRUE,0.98262380538662,0.00566695727986051,0.113775065387969,0.197907585004359,0.312554489973845,0.410200523103749,0.509590235396687,0.604620749782041,0.705754141238012,0.804272013949433,0.872711421098518,1
"sierra",2735,1227,0.00238419831666838,0.636511817440913,0.712979890310786,TRUE,0.50040749796251,0.020910209102091,0.0692906929069291,0.530135301353014,0.573185731857319,0.786387863878639,0.786387863878639,0.786387863878639,0.786387863878639,0.832308323083235,0.950389503895039,1
"stair",614,356,0.0183133257694982,0.196629213483146,0.00162866449511401,TRUE,0.865168539325843,0.00421348314606742,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,0.525280898876405,1
"standata",1274,359,0.00706217777447384,0.0194986072423398,0.00549450549450549,TRUE,0.98050139275766,0.493706293706294,0.493706293706294,0.493706293706294,0.493706293706294,0.493706293706294,0.493706293706294,0.493706293706294,0.493706293706294,0.493706293706294,0.493706293706294,1
"standgub",1383,361,0.00668585495019659,0.0193905817174515,0.00506146059291396,TRUE,0.980609418282548,0.493741307371349,0.493741307371349,0.493741307371349,0.493741307371349,0.493741307371349,0.493741307371349,0.493741307371349,0.493741307371349,0.493741307371349,0.493741307371349,1
"standmps",1274,467,0.00651810716050545,0.246252676659529,0.00549450549450549,TRUE,0.91220556745182,0.495166487647691,0.495166487647691,0.495166487647691,0.495166487647691,0.495166487647691,0.495166487647691,0.495166487647691,0.495166487647691,0.495166487647691,0.495166487647691,1
"stocfor1",165,117,0.025951825951826,0.0683760683760684,0.163636363636364,TRUE,0.675213675213675,0.00854700854700855,0.0752136752136752,0.44017094017094,0.44017094017094,0.44017094017094,0.44017094017094,0.44017094017094,0.44017094017094,0.44017094017094,0.907692307692308,1
"stocfor2",3045,2157,0.0014246204932503,0.00370885489105239,0.377339901477833,TRUE,0.68567454798331,0.00208623087621697,0.0802039870190079,0.153222067686602,0.216968011126565,0.505099675475197,0.505099675475197,0.505099675475197,0.505099675475197,0.505099675475197,0.876912378303199,1
"tuff",628,333,0.0218100265870967,0,0.00477707006369427,TRUE,1,0.00602409638554217,0.457831325301205,0.457831325301205,0.457831325301205,0.457831325301205,0.457831325301205,0.457831325301205,0.457831325301205,0.457831325301205,0.457831325301205,1
"vtp_base",346,198,0.0153412740117942,0.297979797979798,0.0173410404624277,TRUE,0.52020202020202,0.493606138107417,0.493606138107417,0.493606138107417,0.493606138107417,0.493606138107417,0.493606138107417,0.493606138107417,0.493606138107417,0.493606138107417,0.493606138107417,1
"wood1p",2595,244,0.11089421649452,0.00819672131147541,0.000385356454720617,TRUE,0.979508196721312,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"woodw",8418,1098,0.00405573363695888,0.0309653916211293,0.000475172249940603,TRUE,0.990892531876138,0.499316005471956,0.499316005471956,0.499316005471956,0.499316005471956,0.499316005471956,0.499316005471956,0.499316005471956,0.499316005471956,0.499316005471956,0.499316005471956,1
