"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"sctap1",660,300,0.00945454545454546,0.513333333333333,0.545454545454545,TRUE,0.82,0.005,0.155,0.155,0.308333333333333,0.308333333333333,0.433333333333333,0.488333333333333,0.623333333333333,0.786666666666667,0.863333333333333,1
"sctap2",2500,1090,0.00269137614678899,0.477981651376147,0.564,TRUE,0.884403669724771,0.0169880624426079,0.108815426997245,0.108815426997245,0.251147842056933,0.392561983471074,0.392561983471074,0.578053259871442,0.578053259871442,0.71900826446281,0.870064279155188,1
"sctap3",3340,1480,0.00196916976857097,0.460810810810811,0.55688622754491,TRUE,0.915540540540541,0.0125084516565247,0.178837052062204,0.178837052062204,0.178837052062204,0.332319134550372,0.430358350236646,0.628803245436105,0.628803245436105,0.789384719405003,0.905679513184584,1
"share1b",253,117,0.0398297354819094,0.88034188034188,0.122529644268775,TRUE,0.461538461538462,0.153846153846154,0.344444444444444,0.508547008547009,0.508547008547009,0.508547008547009,0.508547008547009,0.508547008547009,0.676068376068376,0.786324786324787,0.946153846153846,0.991452991452991
"share2b",162,96,0.0499614197530864,0.25,0.222222222222222,TRUE,0.604166666666667,0.0104166666666667,0.129166666666667,0.247916666666667,0.41875,0.54375,0.557291666666667,0.658333333333333,0.790625,0.85,0.940625,1
"shell",1777,536,0.00373554288210047,0.00373134328358209,0.75633089476646,TRUE,0.996268656716418,0.00186567164179104,0.101305970149254,0.200559701492537,0.298507462686567,0.401119402985075,0.500932835820896,0.60205223880597,0.702425373134328,0.800559701492537,0.900559701492537,1
"ship04l",2166,402,0.00732716840543359,0.654228855721393,0.977839335180055,TRUE,0.960199004975124,0.00497512437810945,0.133084577114428,0.201492537313433,0.303482587064677,0.402985074626866,0.498756218905473,0.59452736318408,0.690298507462687,0.786069651741294,0.891791044776119,1
"ship04s",1506,402,0.0072677779759899,0.654228855721393,0.968127490039841,TRUE,0.962686567164179,0.00497512437810945,0.133084577114428,0.199751243781095,0.295522388059701,0.394029850746269,0.495024875621891,0.593532338308458,0.68955223880597,0.785572139303483,0.891542288557214,1
"ship08l",4363,778,0.00379505858743218,0.530848329048843,0.981663992665597,TRUE,0.976863753213368,0.0012853470437018,0.125321336760925,0.198971722365039,0.300385604113111,0.399228791773779,0.496786632390745,0.594344473007712,0.694858611825193,0.794601542416453,0.892159383033419,1
"ship08s",2467,778,0.00374819077113528,0.530848329048843,0.967571949736522,TRUE,0.976863753213368,0.0012853470437018,0.125321336760925,0.197686375321337,0.296529562982005,0.394087403598972,0.494215938303342,0.594344473007712,0.691902313624679,0.792030848329049,0.892159383033419,1
